,City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed (MPH)
34,Kavajë,0,AL,1594956217,87,41.19,19.56,60.8,1.0
35,Naze,75,JP,1594931734,78,28.37,129.48,82.4,4.6
36,Hithadhoo,92,MV,1594948260,72,-0.6,73.08,84.2,4.15
37,Tual,13,ID,1594934411,84,-5.67,132.75,78.76400000000004,7.88
38,Grand Gaube,0,MU,1594953833,82,-20.01,57.66,66.00200000000008,1.79
39,Magistral'nyy,8,RU,1594931221,41,56.17,107.45,63.5,2.59
40,Coquimbo,18,CL,1594899531,93,-29.95,-71.34,50.0,2.1
41,Karpathos,0,GR,1594955312,69,35.51,27.21,75.2,13.4
42,Arraial do Cabo,75,BR,1594891685,82,-22.97,-42.03,64.4,2.1
43,Broome,90,US,1594892478,77,42.25,-75.83,73.00400000000005,4.1
44,Cape Town,0,ZA,1594964887,93,-33.93,18.42,46.99400000000007,2.6
45,Fortuna,40,US,1594904386,87,40.6,-124.16,62.99600000000005,6.2
46,Semey,1,KZ,1594939623,46,50.41,80.23,73.4,5.0
47,Dudinka,75,RU,0,76,69.41,86.18,50.0,8.0
48,Cherskiy,0,RU,0,44,68.75,161.3,57.866000000000014,3.96
49,Albany,100,US,1594891965,76,42.6,-73.97,71.99600000000005,4.87
50,Castro,100,BR,1594893802,92,-24.79,-50.01,55.274000000000015,1.8
51,Kiunga,97,PG,1594932403,79,-6.12,141.29,80.34800000000003,1.69
52,Provideniya,90,RU,1594993894,76,64.38,-173.3,53.6,2.0
53,Torbay,90,CA,1594885786,100,47.67,-52.73,48.992,8.2
54,Bluff,33,NZ,1594931028,83,-46.6,168.33,39.00200000000008,1.34
55,Longyearbyen,40,SJ,0,81,78.22,15.64,46.4,0.41
56,Chui,0,UY,1594895729,93,-33.7,-53.46,46.63399999999999,2.58
57,Acapulco de Juárez,90,MX,1594901679,94,16.86,-99.89,80.6,1.5
58,Mount Gambier,0,AU,1594936092,81,-37.83,140.77,46.4,4.6
59,Iskateley,39,RU,1594934145,78,67.68,53.15,49.64000000000002,3.54
60,Igbo-Ora,100,NG,1594964262,95,7.43,3.28,71.13200000000002,0.94
61,Safakulevo,0,RU,1594942451,74,54.99,62.54,71.2760000000001,2.85
62,Puerto Ayora,9,EC,1594901094,91,-0.74,-90.35,68.0,0.89
63,Kaitangata,16,NZ,1594930598,58,-46.28,169.85,46.99400000000007,4.47
64,Kavieng,10,PG,1594929789,65,-2.57,150.8,85.65800000000002,2.44
65,Butaritari,100,KI,1594923986,70,3.07,172.79,83.40800000000002,4.32
66,Hong Kong,97,HK,1594936131,76,22.29,114.16,89.00600000000003,1.79
67,Mahébourg,20,MU,1594953865,77,-20.41,57.7,69.80000000000001,3.1
68,Caucayá,68,CO,1594897305,86,-0.19,-74.78,71.79800000000003,0.29
69,Port Hedland,0,AU,1594939249,20,-20.32,118.57,73.4,3.6
70,Saskylakh,100,RU,0,68,71.92,114.08,49.766000000000005,7.4
71,Georgiyevka,0,KZ,1594942628,46,43.04,74.71,71.6,5.0
72,Kapaa,40,US,1594915384,70,22.08,-159.32,84.2,3.1
73,Lagoa,100,PT,1594968004,82,39.05,-27.98,68.684,5.55
74,Namwala,0,ZM,1594960891,78,-15.75,26.44,45.77000000000006,2.55
75,George Town,20,MY,1594941156,88,5.41,100.34,80.6,2.1
76,Havre-St-Pierre,90,CA,1594887749,67,50.23,-63.6,60.8,2.1
77,Atuona,3,PF,1594913628,77,-9.8,-139.03,79.7,7.78
78,Port Alfred,0,ZA,1594962809,42,-33.59,26.89,56.33600000000007,2.87
79,Whitehorse,40,CA,1594900826,52,60.72,-135.05,66.2,2.1
80,Lata,77,PT,1594963097,68,40.16,-8.33,75.00200000000008,1.46
81,Aksarka,8,RU,1594933209,68,66.56,67.8,56.19199999999999,3.15
82,Codrington,0,AU,1594935871,70,-38.27,141.97,53.096000000000046,3.35
83,Bonavista,100,CA,1594885639,77,48.65,-53.11,48.00200000000008,1.79
84,Carndonagh,100,IE,1594959129,93,55.25,-7.27,58.26200000000006,3.56
85,Nizwá,99,OM,1594949655,38,22.93,57.53,87.62000000000006,0.51
86,Vaini,40,TO,1595009836,74,-21.2,-175.2,78.80000000000001,3.6
87,Selkirk,40,CA,1594895767,53,50.14,-96.88,75.99199999999999,4.1
88,Barrow,90,US,0,69,71.29,-156.79,37.4,7.2
89,Necochea,39,AR,1594897700,79,-38.55,-58.74,46.18399999999999,3.98
90,Ankang,100,CN,1594936077,70,32.68,109.02,69.00800000000001,0.89
91,Buguda,8,IN,1594943451,75,19.82,84.8,83.96600000000001,0.38
92,Donghai,87,CN,1594935702,59,22.95,115.64,90.26600000000002,5.43
93,Alofi,40,NU,1594921957,65,-19.06,-169.92,82.4,5.1
94,Olafsvik,100,IS,1594957406,76,64.89,-23.71,48.236000000000075,13.13
95,Bhawānīgarh,0,IN,1594944323,54,30.27,76.03,89.29400000000007,5.35
96,Mossamedes,0,AO,1594964266,45,-15.2,12.15,69.31400000000004,2.89
97,Buraidah,0,SA,1594952512,25,26.33,43.98,86.0,2.1
98,Zhuhai,40,CN,1594936274,79,22.28,113.57,93.00200000000008,5.1
99,Punta Arenas,0,CL,1594903665,92,-53.15,-70.92,30.2,2.6
100,New Norfolk,0,AU,1594935396,86,-42.78,147.06,46.004000000000055,0.45
101,Khatanga,100,RU,0,73,71.97,102.5,46.70600000000003,8.99
102,Rio Grande,2,BR,1594895180,97,-32.03,-52.1,44.00600000000003,3.15
103,Katsuura,75,JP,1594928214,94,35.13,140.3,69.80000000000001,2.1
104,Lebu,100,CL,1594901134,90,-37.62,-73.65,52.736000000000075,9.07
105,Nantucket,75,US,1594891282,87,41.28,-70.1,60.00800000000001,2.6
106,Camaná,98,PE,1594898380,78,-16.62,-72.71,61.08800000000005,2.13
107,Departamento de Maldonado,0,UY,1594896213,100,-34.67,-54.92,48.992,2.1
108,Isangel,40,VU,1594927002,74,-19.55,169.27,80.6,3.1
109,Davila,99,PH,1594935006,73,18.47,120.58,86.36000000000008,4.34
110,Kruisfontein,0,ZA,1594963383,46,-34.0,24.73,47.08399999999999,2.15
111,Fairbanks,75,US,1594900687,59,64.84,-147.72,66.99199999999999,0.29
112,Marau,100,BR,1594894755,96,-28.45,-52.2,53.690000000000026,1.9
113,Nikolskoye,100,RU,1594948054,82,59.7,30.79,57.2,2.0
114,Hasaki,75,JP,1594927997,100,35.73,140.83,66.2,4.6
115,Hilo,1,US,1594914627,66,19.73,-155.09,84.2,3.6
116,Ilulissat,100,GL,0,76,69.22,-51.1,48.2,0.5
117,Sakakah,0,SA,1594952962,15,29.97,40.21,86.0,2.6
118,Quaraí,56,BR,1594896014,94,-30.39,-56.45,47.87600000000009,5.15
119,Bud,40,US,1594895466,83,39.45,-86.18,75.2,2.69
120,Tuktoyaktuk,20,CA,0,67,69.45,-133.04,57.2,6.2
121,Nanortalik,0,GL,1594879571,61,60.14,-45.24,48.72200000000004,2.75
122,Tougan,32,BF,1594965240,76,13.07,-3.07,77.95400000000006,3.5
123,Severo-Kuril'sk,100,RU,1594921321,85,50.68,156.12,54.608000000000004,0.62
124,Codajás,33,BR,1594894593,77,-3.84,-62.06,75.79400000000007,0.5
125,North Platte,1,US,1594898676,62,41.12,-100.77,84.2,4.1
126,Clyde River,1,CA,0,81,70.47,-68.59,46.4,3.1
127,Raudeberg,100,NO,1594952869,93,61.99,5.14,60.998000000000026,7.2
128,Port Hardy,90,CA,1594902950,82,50.7,-127.42,57.2,4.6
129,Pingxiang,72,CN,1594935580,56,27.62,113.85,91.25600000000003,3.39
130,Merauke,21,ID,1594932855,72,-8.47,140.33,80.85200000000009,5.72
131,Melenki,100,RU,1594947352,93,55.33,41.63,55.958000000000006,3.34
132,Saint Paul Harbor,90,US,1594906487,77,57.79,-152.41,60.8,4.1
133,Andenes,100,NO,0,93,69.31,16.12,53.6,3.6
134,Patea,94,NZ,1594928306,91,-39.76,174.48,53.99600000000005,1.79
135,Norman Wells,75,CA,1594895173,72,65.28,-126.83,68.0,5.1
136,Port-Gentil,100,GA,1594963704,84,-0.72,8.78,74.96600000000001,4.11
137,Praia,75,CV,1594969962,73,14.92,-23.51,77.0,4.6
138,Sioux Lookout,20,CA,1594894586,64,50.1,-91.92,69.80000000000001,4.6
139,College,75,US,1594900685,59,64.86,-147.8,66.99199999999999,1.5
140,Biltine,95,TD,1594959336,61,14.53,20.92,81.28399999999999,6.25
141,Trairi,0,BR,1594889071,77,-3.28,-39.27,78.29600000000005,4.67
142,Guía de Isora,20,ES,1594966869,83,28.21,-16.78,75.99199999999999,3.1
143,Saint George,1,US,1594902431,10,37.1,-113.58,102.992,5.7
144,Caohai,100,CN,1594937969,88,26.87,104.28,65.33600000000007,3.4
145,Marsh Harbour,52,BS,1594895116,75,26.54,-77.06,83.48000000000005,6.42
146,Port Elizabeth,0,ZA,1594963170,93,-33.92,25.57,42.8,1.0
147,Vigrestad,100,NO,1594954644,97,58.57,5.7,57.00200000000008,3.18
148,Srednekolymsk,100,RU,1594910603,86,67.45,153.68,45.878000000000064,3.23
149,Ostrovnoy,0,RU,0,61,68.05,39.51,51.26000000000008,2.12
150,Vardø,100,NO,0,84,70.37,31.11,53.312000000000054,2.5
151,Sambava,0,MG,1594955050,82,-14.27,50.17,68.45,4.65
152,Itarema,0,BR,1594889193,82,-2.92,-39.92,77.684,5.6
153,Sechura,0,PE,1594899257,77,-5.56,-80.82,63.95,6.06
154,Sapulpa,1,US,1594898407,59,36.0,-96.11,93.2,3.1
155,Aklavik,20,CA,0,51,68.22,-135.01,62.6,4.6
156,Lockport,1,US,1594895538,73,41.59,-88.06,78.80000000000001,2.1
157,Pokhara,99,NP,1594942675,87,28.23,83.98,72.75200000000008,0.51
158,San Patricio,75,MX,1594902585,74,19.22,-104.7,82.4,5.1
159,La Palma,1,US,1594903994,47,33.85,-118.05,80.00600000000003,3.6
160,Westport,1,US,1594892090,64,41.14,-73.36,69.80000000000001,4.1
161,Novobelokatay,0,RU,1594943050,77,55.71,58.95,72.734,1.29
162,Tautira,75,PF,1594916837,74,-17.73,-149.15,82.4,2.1
163,Portland,20,US,1594903071,47,45.52,-122.68,80.99600000000005,6.2
164,Alekseyevka,79,RU,1594949541,86,50.63,38.69,56.55200000000008,1.55
165,Hamilton,75,US,1594895115,74,39.18,-84.53,78.99800000000002,4.6
166,Viedma,100,AR,1594899086,94,-40.81,-63.0,44.99600000000005,0.89
167,Prince Rupert,90,CA,1594902532,82,54.32,-130.32,57.2,1.5
168,Mount Isa,90,AU,1594934270,20,-20.73,139.5,68.0,6.2
169,Forsytheganj,0,BY,1594951114,85,52.63,29.73,53.07800000000007,1.0
170,Bukachacha,100,RU,1594930060,92,52.98,116.92,63.320000000000064,0.88
171,Souillac,20,MU,1594953920,77,-20.52,57.52,69.80000000000001,3.1
172,São Lourenço da Mata,40,BR,1594888495,69,-8.0,-35.02,78.80000000000001,5.7
173,Emerald,0,AU,1594932491,37,-23.53,148.17,62.99600000000005,2.24
174,Popondetta,8,PG,1594930981,78,-8.75,148.25,83.60600000000002,1.67
175,Saint-Philippe,90,RE,1594954429,88,-21.36,55.77,66.2,2.6
176,Klaksvík,90,FO,1594955526,93,62.23,-6.59,50.0,7.7
177,Sinnamary,100,GF,1594891543,85,5.38,-52.95,78.60200000000009,4.12
178,Qaanaaq,39,GL,0,75,77.48,-69.36,43.483999999999995,1.66
179,Albufeira,0,PT,1594963584,57,37.09,-8.25,78.99800000000002,2.6
180,Buchanan,96,LR,1594967608,77,5.88,-10.05,75.00200000000008,2.33
181,Bethel,1,US,1594892060,72,41.37,-73.41,66.99199999999999,2.6
182,Narsaq,28,GL,1594879316,37,60.92,-46.05,55.400000000000006,3.6
183,Chernyshevskiy,0,RU,1594926333,51,63.01,112.47,64.04000000000002,4.28
184,Wanning,72,CN,1594937414,69,18.8,110.4,87.94400000000007,6.51
185,Bozdar Wada,40,PK,1594946488,74,27.18,68.64,86.0,3.1
186,Dingle,2,PH,1594935261,69,11.0,122.67,86.684,1.39
187,George,0,ZA,1594963922,65,-33.96,22.46,46.4,2.6
188,Ciudad Guayana,100,VE,1594893588,86,8.35,-62.65,76.62200000000004,2.69
189,Yulara,0,AU,1594936805,33,-25.24,130.99,57.2,4.6
190,East London,0,ZA,1594962488,36,-33.02,27.91,57.038000000000046,1.82
191,Hobyo,100,SO,1594953597,69,5.35,48.53,77.50400000000005,10.07
192,Cap Malheureux,2,MU,1594953842,82,-19.98,57.61,66.00200000000008,1.34
193,Wellington,23,NZ,1594928487,76,-41.29,174.78,53.99600000000005,8.2
194,Carnarvon,40,AU,1594940929,100,-24.87,113.63,62.6,7.2
195,Comodoro Rivadavia,90,AR,1594901094,93,-45.87,-67.5,41.0,4.6
196,Cidreira,100,BR,1594894490,91,-30.18,-50.21,57.72200000000004,8.73
197,Maputo,0,MZ,1594960499,81,-25.97,32.59,53.00600000000003,3.1
198,Saint Anthony,1,US,1594896102,51,45.02,-93.22,82.4,4.6
199,São Filipe,39,CV,1594970201,82,14.9,-24.5,75.00200000000008,1.7
200,Manzanillo,97,CU,1594895843,77,20.34,-77.12,78.99800000000002,3.0
201,Cartagena,99,CO,1594896476,86,10.4,-75.51,79.66400000000004,6.18
202,Hervey Bay,0,AU,1594931566,45,-25.3,152.85,66.99199999999999,3.13
203,Saint-Pierre,90,RE,1594954496,88,-21.34,55.48,66.2,2.6
204,Saint-Augustin,15,CA,1594886282,53,51.23,-58.65,64.09400000000008,4.88
205,Macas,21,EC,1594898306,80,-2.32,-78.12,64.958,1.0
206,Samoded,100,RU,1594943155,98,63.61,40.51,48.95600000000003,2.19
207,Carquefou,0,FR,1594960029,87,47.3,-1.49,59.0,2.1
208,Kavaratti,100,IN,1594947312,81,10.57,72.64,83.24600000000005,8.31
209,Nome,90,US,1594905290,77,64.5,-165.41,60.00800000000001,5.1
210,Kiryat Gat,2,IL,1594954053,68,31.61,34.76,75.00200000000008,2.08
211,Ketchikan,90,US,1594902489,87,55.34,-131.65,60.8,5.1
212,Chinsali,3,ZM,1594959031,78,-10.54,32.08,48.41600000000001,4.05
213,Ayan,100,RU,1594923730,94,56.45,138.17,55.09400000000008,3.59
214,Port Augusta,0,AU,1594936061,42,-32.5,137.77,62.6,5.1
215,Puerto Princesa City,99,PH,1594936327,68,9.74,118.74,85.62200000000004,3.17
216,Tuatapere,64,NZ,1594931088,83,-46.13,167.68,39.00200000000008,1.34
217,Arlit,16,NE,1594962149,41,18.74,7.39,88.44800000000004,3.41
218,Matadi,88,CD,1594963057,78,-5.82,13.45,73.11200000000005,2.33
219,Santiago,75,CL,1594899821,93,-33.46,-70.65,46.4,0.77
220,Srandakan,0,ID,1594940024,63,-7.94,110.25,82.50800000000001,1.79
221,Faanui,6,PF,1594917334,80,-16.48,-151.75,77.73800000000006,4.54
222,Bambous Virieux,20,MU,1594953844,77,-20.34,57.76,69.80000000000001,3.1
223,Kaeo,100,NZ,1594927775,3,-35.1,173.78,60.998000000000026,4.47
224,Khudumelapye,0,BW,1594962145,68,-23.88,24.75,37.88600000000007,2.59
225,Marshall,1,US,1594896301,69,34.38,-86.33,84.00200000000008,1.5
226,Broken Hill,0,AU,1594935111,44,-31.95,141.43,57.2,3.1
227,Fort Nelson,90,CA,1594898874,100,58.81,-122.7,59.0,1.5
228,Cayenne,100,GF,1594891436,100,4.93,-52.33,77.0,1.0
229,Warrington,13,GB,1594958637,82,53.39,-2.58,62.99600000000005,1.5
230,Yerbogachën,99,RU,1594928597,73,61.28,108.01,55.58000000000004,4.47
231,San Vicente,64,AR,1594895001,100,-26.62,-54.13,58.62200000000004,0.89
232,Amahai,100,ID,1594935112,77,-3.33,128.92,81.19400000000007,1.85
233,Areosa,21,PT,1594962945,69,41.72,-8.86,80.99600000000005,2.1
234,Changde,100,CN,1594935921,88,29.05,111.68,79.89800000000002,1.59
235,Anadyr,40,RU,1594909153,82,64.75,177.48,55.400000000000006,7.0
236,Lalibela,76,ET,1594955237,90,12.03,39.03,56.87600000000009,0.41
237,Jodhpur,0,IN,1594945542,57,26.29,73.03,91.65200000000007,0.65
238,Boca do Acre,0,BR,1594896337,71,-8.75,-67.4,75.48800000000006,0.96
239,Bathsheba,40,BB,1594892359,74,13.22,-59.52,82.4,6.7
240,Rørvik,100,NO,1594949029,88,64.86,11.24,55.88600000000007,1.51
241,Chingirlau,100,KZ,1594945717,78,51.09,54.08,73.184,5.62
242,Topeka,1,US,1594897815,74,39.05,-95.68,82.4,2.6
243,Falun,0,SE,1594951206,100,60.6,15.63,53.6,1.04
244,Tūkrah,0,LY,1594957332,75,32.53,20.58,74.69600000000005,1.88
245,Chekhov,75,RU,1594948420,87,55.14,37.47,57.2,3.0
246,Richards Bay,0,ZA,1594960961,74,-28.78,32.04,52.37600000000009,1.59
247,Upernavik,94,GL,0,75,72.79,-56.15,44.312000000000054,1.62
248,Khovd,0,MN,1594937494,37,48.01,91.64,65.93000000000004,1.45
249,Avarua,99,CK,1594919750,69,-21.21,-159.78,73.4,4.6
250,Cabo San Lucas,5,MX,1594903431,39,22.89,-109.91,86.0,4.1
251,Iqaluit,75,CA,1594882680,71,63.75,-68.51,50.0,2.1
252,Sciacca,0,IT,1594958393,87,37.51,13.09,69.00800000000001,1.79
253,Tynda,1,RU,1594927448,45,55.17,124.72,82.67000000000007,2.53
254,Matara,100,LK,1594945858,88,5.95,80.54,79.808,3.55
255,Coahuayana Viejo,69,MX,1594902392,83,18.73,-103.68,80.87000000000006,0.77
256,Gorno-Altaysk,0,RU,1594937811,68,51.96,85.95,69.94400000000007,1.0
257,Abbeville,56,FR,1594958538,81,50.1,1.83,60.998000000000026,2.03
258,Corpus Christi,20,US,1594899845,70,27.8,-97.4,86.0,5.1
259,Maribo,0,DK,1594954788,91,54.78,11.5,60.998000000000026,2.81
260,Mt. Pleasant,1,US,1594894975,88,32.79,-79.86,82.99400000000009,3.05
261,Asău,24,RO,1594953528,93,46.43,26.4,53.99600000000005,1.94
262,Beringovskiy,98,RU,1594910229,84,63.05,179.32,51.602000000000075,2.0
263,Apatou,100,GF,1594891900,94,5.16,-54.35,73.94000000000003,1.39
264,Moose Factory,20,CA,1594891548,53,51.26,-80.61,75.2,9.8
265,Lompoc,8,US,1594904458,68,34.64,-120.46,68.0,5.1
266,Polovinnoye,0,RU,1594941693,67,54.79,65.99,69.98000000000005,3.01
267,Hoquiam,75,US,1594903038,82,46.98,-123.89,64.99400000000009,5.7
268,Tuy Hoa,0,VN,1594938265,61,13.08,109.3,87.74600000000005,1.79
269,Tonantins,90,BR,1594895880,75,-2.87,-67.8,75.93800000000005,0.53
270,Same,53,TZ,1594957067,76,-4.07,37.73,57.70400000000005,1.7
271,Avera,1,US,1594895560,74,33.19,-82.53,82.4,2.1
272,Muğla Province,0,TR,1594954771,52,37.23,28.36,69.80000000000001,2.1
273,Tchibanga,97,GA,1594963361,94,-2.85,11.03,66.92000000000007,1.38
274,Hirara,75,JP,1594933175,89,24.8,125.28,86.0,8.2
275,Mohān,40,IN,1594943646,89,26.78,80.68,84.2,2.1
276,Maraã,80,BR,1594895200,90,-1.83,-65.37,74.03000000000004,0.87
277,Berlevåg,95,NO,0,85,70.86,29.09,52.196000000000055,0.92
278,Redmond,42,US,1594902452,68,47.67,-122.12,75.00200000000008,3.87
279,Meulaboh,69,ID,1594942286,82,4.14,96.13,80.72600000000008,1.45
280,Kovūr,100,IN,1594945163,68,14.48,79.98,84.81200000000007,2.47
281,Bandarbeyla,90,SO,1594952656,58,9.49,50.81,81.26600000000002,13.84
282,La Rioja,45,ES,1594961320,82,42.25,-2.5,59.0,4.6
283,Vestmannaeyjar,100,IS,1594957911,87,63.44,-20.27,51.35,4.13
284,Cabedelo,28,BR,1594888353,94,-6.98,-34.83,73.4,3.6
285,Sabha,0,LY,1594959520,20,27.04,14.43,85.78399999999999,6.1
286,Te Anau,58,NZ,1594930936,59,-45.42,167.72,44.582000000000015,0.2
287,Muroto-misakicho,75,JP,1594929959,83,33.28,134.15,77.0,2.1
288,Manggar,86,ID,1594940026,79,-2.88,108.27,82.94000000000003,5.53
289,Mīnāb,40,IR,1594949267,49,27.15,57.08,89.6,2.1
290,Nkhata Bay,8,MW,1594958603,64,-11.61,34.29,64.4,8.4
291,Chokurdakh,79,RU,0,63,70.63,147.92,49.73000000000005,2.53
292,Lima,90,PE,1594898964,87,-12.04,-77.03,59.0,3.6
293,Newport,0,GB,1594959285,92,51.59,-3.0,60.998000000000026,2.63
294,Destin,1,US,1594896896,74,30.39,-86.5,84.2,2.06
295,Lloydminster,75,CA,1594897996,60,53.28,-110.0,73.4,5.7
296,Ransang,100,PH,1594936680,65,8.96,117.58,85.64000000000001,0.59
297,Langsa,27,ID,1594941813,82,4.47,97.97,81.1760000000001,1.45
298,Wągrowiec,52,PL,1594954068,95,52.81,17.2,57.00200000000008,1.34
299,Ixtapa,90,MX,1594902544,83,20.7,-105.2,80.6,6.2
300,Lokosovo,25,RU,1594936667,59,61.13,74.82,62.150000000000006,3.04
301,Ancud,90,CL,1594901862,100,-41.87,-73.82,51.00800000000001,5.1
302,Ambilobe,23,MG,1594955214,86,-13.2,49.05,65.67800000000007,1.31
303,Bereda,100,ES,1594962336,100,43.27,-7.54,59.0,4.47
304,Marawi,84,PH,1594935162,78,8.0,124.29,82.99400000000009,2.24
305,Aykhal,40,RU,1594923538,55,66.0,111.5,64.4,4.0
306,Tumaco,99,CO,1594898089,87,1.8,-78.82,77.52200000000005,1.73
307,Moyo,100,UG,1594957791,98,3.66,31.72,64.00400000000005,0.3
308,Kaka,46,TM,1594947248,40,37.35,59.61,83.78600000000007,2.92
309,Walvis Bay,0,NA,1594964502,14,-22.96,14.51,73.99400000000009,11.3
310,Mpika,63,ZM,1594959305,79,-11.83,31.45,46.43600000000007,4.9
311,Iquique,90,CL,1594898135,72,-20.22,-70.14,60.8,2.6
312,Zhigansk,15,RU,1594919454,49,66.77,123.37,69.17000000000007,4.81
313,Hofn,98,IS,1594955991,86,64.25,-15.21,51.49400000000007,9.74
314,Sadon,0,RU,1594950040,93,42.85,44.0,62.6,3.0
315,Djambala,100,CG,1594962440,85,-2.54,14.75,69.06200000000007,2.18
316,Chimoré,100,BO,1594896598,70,-16.98,-65.13,76.38800000000005,0.5
317,Demerval Lobão,41,BR,1594890084,65,-5.36,-42.68,80.6,2.28
318,Tāybād,2,IR,1594947365,38,34.74,60.78,78.47600000000008,7.29
319,Cockburn Town,67,TC,1594894284,78,21.46,-71.14,83.03000000000004,8.15
320,Turaif,0,SA,1594953109,47,31.67,38.66,75.2,4.1
321,Paamiut,0,GL,1594879503,75,61.99,-49.67,45.788000000000046,6.4
322,Oliveira dos Brejinhos,0,BR,1594890800,63,-12.32,-42.9,68.18000000000004,3.88
323,Bethanien,0,NA,1594964263,49,-26.5,17.16,46.16600000000001,3.42
324,Okhotsk,100,RU,1594921180,83,59.38,143.3,58.13600000000007,3.81
325,Bikaner,37,IN,1594945266,46,28.02,73.3,94.87400000000002,4.9
326,Zhangaözen,0,KZ,1594947839,23,43.3,52.8,81.42800000000007,3.72
327,Mmabatho,0,ZA,1594962156,49,-25.85,25.63,32.0,1.5
328,Little Current,1,CA,1594893182,89,45.98,-81.92,64.99400000000009,2.3
329,Tiksi,99,RU,0,81,71.69,128.87,39.48800000000004,10.47
330,Bumba,100,CD,1594960149,95,2.18,22.47,70.55600000000004,0.92
331,Tessalit,0,ML,1594963525,29,20.2,1.01,88.142,3.04
332,San Juan,0,AR,1594899061,48,-31.54,-68.54,50.37800000000007,1.31
333,Rozivka,100,UA,1594951163,58,46.94,35.77,65.57000000000006,3.54
334,Kenai,20,US,1594904821,72,60.55,-151.26,68.0,6.2
335,Mikhaylovka,90,RU,1594948602,74,50.06,43.24,61.141999999999996,2.17
336,Truth or Consequences,46,US,1594901504,24,33.13,-107.25,89.99600000000005,6.71
337,Kahului,40,US,1594914832,52,20.89,-156.47,89.6,8.2
338,Lusambo,81,CD,1594960578,47,-4.97,23.45,68.99000000000002,0.96
339,Diffa,19,NE,1594961451,64,13.32,12.61,79.808,4.91
340,Boone,1,US,1594897014,65,39.03,-92.33,82.99400000000009,2.6
341,Sungai Penuh,71,ID,1594941605,86,-2.08,101.38,71.042,0.33
342,Bengkulu,15,ID,1594941551,78,-3.8,102.27,81.05000000000001,2.11
343,Simões,8,BR,1594889849,74,-7.6,-40.82,70.7,5.87
344,Maţāy,0,EG,1594955424,74,28.42,30.78,68.45,4.55
345,Dhidhdhoo,97,MV,1594947555,75,6.88,73.1,84.21800000000009,5.97
346,George Town,20,MY,1594941156,88,5.41,100.34,82.4,2.1
347,Hutchinson,1,US,1594898519,62,38.06,-97.93,84.2,3.1
348,Stornoway,99,GB,1594957716,81,58.21,-6.39,53.6,4.1
349,Pemberton,90,CA,1594901944,68,50.32,-122.8,66.2,2.6
350,Saldanha,0,ZA,1594964879,75,-33.01,17.94,44.6,1.0
